Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
737,Tyler Seguin\seguity01,26,DAL,C,80,1388,1283,52.0,0.7,1017,918,52.6,1.3,10.5,91.3,101.8,48.9,51.1,20:53,16:09,38,36,13.9,562,59.1
738,Dennis Seidenberg\seidede01,36,NYI,D,27,368,501,42.3,-7.8,279,389,41.8,-8.5,9.3,90.8,100.1,44.7,55.3,17:53,15:21,2,18,-8.5,61,50.8
739,Andrej Sekera\sekeran01,31,EDM,D,36,483,494,49.4,1.2,347,378,47.9,-1.3,4.3,89.3,93.6,57.5,42.5,16:20,14:05,11,18,-4.6,95,37.9
740,Mikhail Sergachev\sergami01,19,TBL,D,78,1142,967,54.1,3.3,848,736,53.5,2.9,9.3,92.4,101.7,70.1,29.9,15:24,13:30,21,60,7.6,326,42.9
741,Damon Severson\severda01,23,NJD,D,75,1275,1300,49.5,2.2,989,1004,49.6,1.3,8.0,90.7,98.6,54.4,45.6,19:39,17:28,26,49,5.1,235,51.5
742,Ben Sexton\sextobe01,26,OTT,C,2,18,11,62.1,15.4,13,9,59.1,14.4,0.0,87.5,87.5,66.7,33.3,10:17,10:17,0,1,0.0,1,100.0
743,Patrick Sharp\sharppa01,36,CHI,LW,68,805,758,51.5,-1.7,575,554,50.9,-0.4,6.7,89.9,96.6,57.3,42.7,12:45,11:08,14,13,-2.7,229,58.5
744,Kevin Shattenkirk\shattke01,29,NYR,D,46,701,776,47.5,1.0,530,585,47.5,0.2,7.7,90.1,97.8,65.4,34.6,20:16,17:00,24,61,-2.2,188,50.0
745,Andrew Shaw\shawan01,26,MTL,RW,51,692,660,51.2,0.8,484,482,50.1,-0.1,6.9,90.9,97.8,55.6,44.4,15:49,13:15,19,28,2.9,152,61.8
746,Logan Shaw\shawlo01,26,TOT,RW,71,622,713,46.6,-2.1,462,516,47.2,-1.1,6.1,92.5,98.6,48.9,51.1,11:50,10:04,24,21,-2.5,196,53.1
747,Riley Sheahan\sheahri01,26,TOT,C,80,840,903,48.2,-5.7,639,675,48.6,-6.0,9.4,91.2,100.6,35.4,64.6,14:40,11:46,32,26,-0.6,172,62.8
748,Conor Sheary\shearco01,25,PIT,LW,78,1020,939,52.1,-0.5,777,694,52.8,-0.5,7.6,91.1,98.7,55.2,44.8,13:59,12:44,35,36,8.5,242,58.3
749,Vadim Shipachyov\shipava01,30,VEG,LW,3,29,31,48.3,6.3,23,24,48.9,7.1,21.4,100.0,121.4,61.1,38.9,10:35,9:33,0,0,0.2,8,37.5
750,Devin Shore\shorede01,23,DAL,C,80,858,918,48.3,-4.2,616,655,48.5,-4.2,5.0,89.1,94.1,48.2,51.8,15:31,12:14,29,19,-0.5,215,54.9
751,Nick Shore\shoreni01,25,TOT,C,63,775,700,52.5,1.8,585,521,52.9,2.7,6.7,91.6,98.3,41.2,58.8,14:06,12:11,23,23,0.5,137,54.0
752,Patrick Sieloff\sielopa01,23,OTT,D,1,16,14,53.3,5.4,12,11,52.2,3.7,12.5,70.0,82.5,60.0,40.0,11:11,11:11,0,0,-0.9,4,75.0
753,Duncan Siemens\siemedu01,24,COL,D,16,156,158,49.7,4.4,118,114,50.9,7.3,4.9,88.9,93.8,36.5,63.5,12:19,9:43,2,5,-0.1,30,46.7
754,Dylan Sikura\sikurdy01,22,CHI,RW,3,26,39,40.0,-9.3,19,24,44.2,-6.6,21.1,100.0,121.1,73.1,26.9,13:50,13:08,3,0,0.1,10,70.0
755,Jakob Silfverberg\silfvja01,27,ANA,RW,75,1089,1133,49.0,0.8,815,830,49.5,1.4,7.3,93.3,100.6,40.2,59.8,17:58,14:31,40,43,-3.8,345,53.6
756,Wayne Simmonds\simmowa01,29,PHI,RW,74,957,1045,47.8,-1.9,721,787,47.8,-2.3,8.2,90.2,98.5,46.7,53.3,18:07,13:52,38,27,-2.8,291,60.1
757,Dominik Simon\simondo01,23,PIT,C,33,405,334,54.8,2.3,300,233,56.3,4.3,9.1,90.1,99.2,49.3,50.7,11:25,10:44,10,13,0.3,68,52.9
758,Colton Sissons\sissoco01,24,NSH,C,80,882,881,50.0,-1.2,666,639,51.0,0.0,7.4,91.9,99.3,31.2,68.8,16:05,11:50,25,29,-2.1,188,62.8
759,Jeff Skinner\skinnje01,25,CAR,LW,81,1334,1057,55.8,1.7,977,809,54.7,1.9,6.8,87.5,94.4,65.6,34.4,16:43,14:35,92,60,10.1,485,56.7
760,Brady Skjei\skjeibr01,23,NYR,D,81,1370,1530,47.2,1.7,1048,1153,47.6,1.9,6.7,91.2,97.9,56.0,44.0,21:03,18:18,27,60,-6.1,279,54.1
761,Jaccob Slavin\slavija01,23,CAR,D,81,1600,1338,54.5,-0.2,1189,1011,54.0,1.0,8.6,90.0,98.6,46.9,53.1,22:36,19:22,76,40,6.1,296,51.0
762,Anton Slepyshev\slepyan01,23,EDM,LW,49,608,559,52.1,2.1,454,419,52.0,1.5,6.7,92.2,98.9,53.0,47.0,11:48,11:33,25,17,0.3,138,52.2
763,Brendan Smith\smithbr05,28,NYR,D,44,619,707,46.7,0.9,485,541,47.3,0.9,9.2,91.8,101.0,51.5,48.5,17:11,15:42,23,46,-2.5,119,55.5
764,Craig Smith\smithcr01,28,NSH,RW,78,1171,890,56.8,8.3,880,660,57.1,8.7,8.4,93.7,102.1,60.8,39.2,15:21,13:04,59,28,14.8,369,61.5
765,Gemel Smith\smithge02,23,DAL,C,44,353,304,53.7,2.6,254,208,55.0,4.7,7.7,95.1,102.8,48.2,51.8,9:23,9:14,12,5,5.8,63,65.1
766,Reilly Smith\smithre01,26,VEG,RW,66,960,818,54.0,3.5,720,624,53.6,2.7,12.1,92.5,104.6,49.3,50.7,17:58,13:39,54,47,6.0,274,59.1
767,Zack Smith\smithza01,29,OTT,LW,66,868,1013,46.1,-1.0,661,750,46.8,-0.7,5.4,90.3,95.7,45.5,54.5,16:45,13:49,24,29,-10.5,227,54.2
768,Devante Smith-Pelly\smithde06,25,WSH,RW,74,722,906,44.3,-4.6,548,671,45.0,-2.9,7.5,92.8,100.3,42.6,57.4,12:20,11:20,15,18,-4.1,193,52.8
769,Vladimir Sobotka\sobotvl01,30,STL,LW,79,1043,1075,49.2,-3.2,756,778,49.3,-4.7,6.9,93.0,100.0,45.7,54.3,17:06,14:16,20,14,-8.8,220,58.2
770,Carl Soderberg\soderca01,32,COL,C,76,904,1051,46.2,-1.8,645,762,45.8,-1.5,8.2,92.7,100.9,30.8,69.2,17:23,12:59,38,14,-5.2,252,58.7
771,Marcus Sorensen\sorenma01,25,SJS,LW,31,240,251,48.9,-3.1,174,180,49.2,-3.7,7.4,89.5,96.9,45.9,54.1,10:06,9:06,11,5,-0.1,45,53.3
772,Nikita Soshnikov\soshnni01,24,TOT,RW,13,93,132,41.3,-8.6,65,103,38.7,-12.0,9.1,93.1,102.1,37.1,62.9,11:09,10:22,3,2,-3.5,26,65.4
773,Carson Soucy\soucyca01,23,MIN,D,3,34,40,45.9,-6.7,24,31,43.6,-8.6,0.0,90.5,90.5,48.1,51.9,14:51,14:12,1,0,0.7,5,80.0
774,Jason Spezza\spezzja01,34,DAL,C,76,856,747,53.4,2.4,597,539,52.6,1.0,6.5,90.7,97.2,56.3,43.8,13:02,10:59,12,33,5.9,269,50.6
775,Ryan Spooner\spoonry01,26,TOT,C,58,687,745,48.0,-3.1,510,607,45.7,-5.3,10.8,92.1,102.9,63.9,36.1,15:20,12:45,15,35,-2.1,160,66.9
776,Daniel Sprong\spronda01,20,PIT,RW,8,115,67,63.2,10.9,88,40,68.8,17.9,8.2,90.0,98.2,49.3,50.7,13:59,12:46,0,2,3.8,33,66.7
777,Ryan Sproul\sproury01,25,NYR,D,15,235,236,49.9,3.1,168,182,48.0,3.2,8.6,89.6,98.2,62.6,37.4,16:12,15:20,5,7,-2.9,44,34.1
778,Jared Spurgeon\spurgja01,28,MIN,D,61,1110,1110,50.0,4.2,843,799,51.3,4.9,7.5,90.8,98.2,47.9,52.1,24:32,19:07,23,20,14.9,234,47.0
779,Eric Staal\staaler01,33,MIN,C,81,1188,1218,49.4,3.4,907,917,49.7,2.5,10.8,89.6,100.4,48.1,51.9,17:51,14:34,48,26,8.5,389,61.4
780,Jordan Staal\staaljo01,29,CAR,C,78,1241,1033,54.6,-0.2,914,802,53.3,-0.4,8.1,90.1,98.2,48.9,51.1,19:15,14:54,57,44,6.8,270,58.1
781,Marc Staal\staalma01,31,NYR,D,71,914,1209,43.1,-4.0,702,915,43.4,-3.7,9.1,93.9,103.0,37.7,62.3,18:28,15:36,32,43,-9.1,143,46.2
782,Drew Stafford\staffdr01,32,NJD,RW,58,608,656,48.1,0.2,461,503,47.8,-0.9,5.8,89.5,95.3,47.7,52.3,13:53,11:54,16,13,-0.3,162,61.1
783,Matt Stajan\stajama01,34,CGY,C,67,607,568,51.7,-2.1,455,398,53.3,0.3,5.9,94.4,100.3,39.4,60.6,10:55,9:17,20,16,2.4,97,67.0
784,Steven Stamkos\stamkst01,27,TBL,C,78,1256,1106,53.2,2.1,945,868,52.1,0.9,11.5,91.4,102.8,62.0,38.0,18:46,14:51,27,50,1.7,412,51.5
785,Paul Stastny\stastpa01,32,TOT,C,81,1302,1093,54.4,4.2,968,797,54.8,3.4,8.9,90.4,99.3,53.6,46.4,18:20,14:43,43,19,6.2,241,65.1
